Course,University,Masters/Bachelors,Language,Course Duration,Course Link
CORPORATE FINANCE AND FINANCIAL MARKETS - LM-77 R,Università degli Studi di TORINO,Magistrale,IT,2 years,http://www.famf.unito.it/
"BANKING, CORPORATE FINANCE AND FINANCIAL MARKETS - LM-77 R",Università di PISA,Magistrale,IT,2 years,https://bfamf-lm.ec.unipi.it/
QUANTITATIVE FINANCE AND DATA SCIENCE FOR ECONOMICS - LM-16 R,Università degli Studi di PERUGIA,Magistrale,EN,2 years,http://www.unipg.it/perm/offerta-formativa/2025/corso/8639
BANKING FINANCE AND FINANCIAL MARKETS - L-18 R,Università di PISA,Triennale,IT,3 years,https://bfm-l.ec.unipi.it/
FINANCIAL MARKETS AND FINANCIAL INTERMEDIARIES - LM-56 R,"Università degli Studi di ROMA ""Tor Vergata""",Magistrale,IT,2 years,http://economia.uniroma2.it/cdl/biennio/clemif/
"ECONOMICS, FINANCE AND SUSTAINABILITY - LM-56 R","Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr15
"ECONOMICS, FINANCE AND DATA ANALYSIS - LM-56 R",Università degli Studi di CAGLIARI,Magistrale,MU,2 years,https://www.unica.it/unica/it/crs_11_86.page
"ECONOMICS, BANKING AND FINANCE - L-18 R",Università degli Studi di MILANO-BICOCCA,Triennale,IT,3 years,https://www.unimib.it/triennale/economia-banche-assicurazioni-intermediari-finanziari
ECONOMICS AND FINANCE - LM-56 R,Università degli Studi di Napoli Federico II,Magistrale,EN,2 years,http://www.dises.unina.it/didattica/corsi-di-laurea/lauree-magistrali/9359805-economics-and-finance/
FINANCE AND BUSINESS - LM-16 R,Università degli Studi ROMA TRE,Magistrale,MU,2 years,http://economiaziendale.uniroma3.it/
COMPUTATIONAL FINANCE - LM-16 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2993&cg=scienze
BANKING AND FINANCE - LM-77 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/banking-and-finance-milano
ACCOUNTING AND FINANCIAL MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/accounting-and-financial-management
GLOBAL ACCOUNTING AND FINANCE - LM-77 R,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr16
BUSINESS ECONOMICS AND ORGANIZATION - L-18 R,"LUM ""Giuseppe Degennaro""",Triennale,EN,3 years,http://%20https//www.lum.it/laurea-in-business-economics-and-organization/
ECONOMICS AND DEVELOPMENT - LM-56 R,Università degli Studi di FIRENZE,Magistrale,EN,2 years,http://www.economicsanddevelopment.unifi.it/
ECONOMICS - LM-56 R,Università degli Studi di UDINE,Magistrale,EN,2 years,https://www.uniud.it/it/didattica/corsi/area-economico-giuridica/economia/laurea-magistrale/economics-scienze-economiche
ECONOMICS - LM-56 R,Università di PISA,Magistrale,EN,2 years,https://www.ec.unipi.it/didattica/offerta-formativa/laurea-magistrale-in-economics/
ECONOMICS - LM-56 R,Università degli Studi di SIENA,Magistrale,EN,2 years,https://economics.unisi.it/
ECONOMICS AND POLITICAL SCIENCE - LM-56 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://eps.cdl.unimi.it/en
COMPUTATIONAL FINANCE - LM-16 R,Università degli Studi di PADOVA,Magistrale,EN,2 years,https://www.unipd.it/offerta-didattica/corso-di-laurea-magistrale/scienze?tipo=LM&scuola=SC&ordinamento=2025&key=SC2993&cg=scienze
BANKING AND FINANCE - LM-77 R,Università Cattolica del Sacro Cuore,Magistrale,EN,2 years,https://www.unicatt.it/corsi/banking-and-finance-milano
ACCOUNTING AND FINANCIAL MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/accounting-and-financial-management
GLOBAL ACCOUNTING AND FINANCE - LM-77 R,"Università ""Ca' Foscari"" VENEZIA",Magistrale,EN,2 years,http://www.unive.it/cdl/emr16
BUSINESS ECONOMICS AND ORGANIZATION - L-18 R,"LUM ""Giuseppe Degennaro""",Triennale,EN,3 years,http://%20https//www.lum.it/laurea-in-business-economics-and-organization/
ECONOMICS AND DEVELOPMENT - LM-56 R,Università degli Studi di FIRENZE,Magistrale,EN,2 years,http://www.economicsanddevelopment.unifi.it/
ECONOMICS - LM-56 R,Università degli Studi di UDINE,Magistrale,EN,2 years,https://www.uniud.it/it/didattica/corsi/area-economico-giuridica/economia/laurea-magistrale/economics-scienze-economiche
ECONOMICS - LM-56 R,Università di PISA,Magistrale,EN,2 years,https://www.ec.unipi.it/didattica/offerta-formativa/laurea-magistrale-in-economics/
ECONOMICS - LM-56 R,Università degli Studi di SIENA,Magistrale,EN,2 years,https://economics.unisi.it/
ECONOMICS AND POLITICAL SCIENCE - LM-56 R,Università degli Studi di MILANO,Magistrale,EN,2 years,https://eps.cdl.unimi.it/en
ECONOMICS AND MANAGEMENT - L-18 R,Università Cattolica del Sacro Cuore,Triennale,EN,3 years,https://www.unicatt.it/corsi/economics-and-management-milano
ECONOMICS - LM-56 R,Università degli Studi di TORINO,Magistrale,EN,2 years,https://www.economics.unito.it/do/home.pl
ECONOMICS & DATA SCIENCE - LM-56 R,Università degli Studi di GENOVA,Magistrale,EN,2 years,https://corsi.unige.it/en/corsi/11937
"ECONOMICS, MANAGEMENT AND COMPUTER SCIENCE - L-33 R","Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/economics-management-and-computer-science
DIGITAL ECONOMICS AND BUSINESS - L-33 R,Università Politecnica delle MARCHE,Triennale,EN,3 years,https://www.econ.univpm.it/ET07
APPLIED ECONOMICS AND MARKETS - LM-56 R,Alma Mater Studiorum - Università di BOLOGNA,Magistrale,EN,2 years,http://corsi.unibo.it/Magistrale/EconomiaPoliticaEconomica
"ECONOMICS, DEVELOPMENT AND INNOVATION - LM-56 R",Università degli Studi di PAVIA,Magistrale,EN,2 years,https://medi.unipv.eu/
"ACCOUNTING, GOVERNANCE AND SUSTAINABILITY - LM-77 R",Università degli Studi di BERGAMO,Magistrale,EN,2 years,https://ls-ags.unibg.it/en
ECONOMICS AND MANAGEMENT OF GOVERNMENT AND INTERNATIONAL ORGANIZATIONS - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/economics-and-management-government-and-international-organizations
BUSINESS (WORLD BACHELOR IN BUSINESS) - L-18 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/world-bachelor-business
INTERNATIONAL ECONOMICS AND MANAGEMENT - L-18 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Triennale,EN,3 years,https://www.unibocconi.it/en/programs/bachelor-science/international-economics-and-management
INTERNATIONAL ACCOUNTING AND MANAGEMENT - LM-77 R,Università degli Studi di SIENA,Magistrale,EN,2 years,https://iama.unisi.it/en
BUSINESS ADMINISTRATION - LM-77 R,"Università degli Studi di ROMA ""Tor Vergata""",Magistrale,EN,2 years,https://economia.uniroma2.it/master-science/ba
MARKETING MANAGEMENT - LM-77 R,"Università Commerciale ""Luigi Bocconi"" MILANO",Magistrale,EN,2 years,https://www.unibocconi.it/en/programs/master-science/marketing-management
